case_id	edition	page	model	direction	representation	source_names	status	known_matching_size	upper_matching_size	known_deficiency	upper_deficiency	plants_without_known_units	plants_without_upper_units	independent_confirmation_leaves
IT2a|f107v|f107v.1-f107v.4|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f107v	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	8	8	24	24	Diacedon | Dragonwort | Fennill | Frankincense | Horehound | Mandrake | Marigold | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Perwinkle | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	Diacedon | Dragonwort | Fennill | Frankincense | Horehound | Mandrake | Marigold | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Perwinkle | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	0
IT2a|f108r|f108r.1-f108r.4|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f108r	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	7	7	27	27	Dragonwort | Flowers of Marigold | Fumitary | Ivy | Majoram | Mandrake | Mugwort | Nip | Penyroial | Perwinkle | Rosemary | Saffron | Sage | Savin | Succory | Trifoile | flowers of Perwinkle | long Aristolochy | root of Mandrake	Dragonwort | Flowers of Marigold | Fumitary | Ivy | Majoram | Mandrake | Mugwort | Nip | Penyroial | Perwinkle | Rosemary | Saffron | Sage | Savin | Succory | Trifoile | flowers of Perwinkle | long Aristolochy | root of Mandrake	0
IT2a|f108r|f108r.1-f108r.4|MATERIAL|REVERSED|ALL_TREE_NODES	IT2a	f108r	MATERIAL	REVERSED	ALL_TREE_NODES	34	CONTRADICTED	7	7	27	27	Diacedon | Fennill | Flowers of Marigold | Frankincense | Horehound | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Perwinkle | Plantain | Sage | Succory | Trifoile | black Hellebor | flowers of Perwinkle	Diacedon | Fennill | Flowers of Marigold | Frankincense | Horehound | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Perwinkle | Plantain | Sage | Succory | Trifoile | black Hellebor | flowers of Perwinkle	0
IT2a|f108r|f108r.1-f108r.4|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f108r	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	7	7	25	25	Dragonwort | Fumitary | Ivy | Majoram | Mandrake | Marigold | Mugwort | Nip | Penyroial | Perwinkle | Rosemary | Saffron | Sage | Savin | Succory | Trifoile | long Aristolochy	Dragonwort | Fumitary | Ivy | Majoram | Mandrake | Marigold | Mugwort | Nip | Penyroial | Perwinkle | Rosemary | Saffron | Sage | Savin | Succory | Trifoile | long Aristolochy	0
IT2a|f108r|f108r.1-f108r.4|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f108r	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	7	7	25	25	Diacedon | Fennill | Frankincense | Horehound | Mandrake | Marigold | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Perwinkle | Plantain | Sage | Succory | Trifoile | black Hellebor	Diacedon | Fennill | Frankincense | Horehound | Mandrake | Marigold | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Perwinkle | Plantain | Sage | Succory | Trifoile | black Hellebor	0
IT2a|f108r|f108r.5-f108r.7|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f108r	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	7	7	27	27	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Mastick | Mint | Mugwort | Nip | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile | root of Mandrake	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Mastick | Mint | Mugwort | Nip | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile | root of Mandrake	0
IT2a|f108r|f108r.5-f108r.7|MATERIAL|REVERSED|ALL_TREE_NODES	IT2a	f108r	MATERIAL	REVERSED	ALL_TREE_NODES	34	CONTRADICTED	7	7	27	27	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile | black Hellebor	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile | black Hellebor	0
IT2a|f108r|f108r.5-f108r.7|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f108r	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	6	6	26	26	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Mastick | Mint | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Majoram | Mandrake | Mastick | Mint | Mugwort | Nip | Perwinkle | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile	0
IT2a|f108r|f108r.5-f108r.7|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f108r	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	6	6	26	26	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile | black Hellebor	Bur | Comfrey | Diacedon | Dragonwort | Fennill | Frankincense | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Sallendine | Savin | Succory | Trifoile | black Hellebor	0
IT2a|f113r|f113r.1-f113r.3|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f113r	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	9	9	25	25	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Quadraginus | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Quadraginus | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	0
IT2a|f113r|f113r.1-f113r.3|MATERIAL|REVERSED|ALL_TREE_NODES	IT2a	f113r	MATERIAL	REVERSED	ALL_TREE_NODES	34	CONTRADICTED	9	9	25	25	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Ivy | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Plantain | Quadraginus | Rosemary | Sallendine | Succory | Trifoile	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Ivy | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Plantain | Quadraginus | Rosemary | Sallendine | Succory | Trifoile	0
IT2a|f113r|f113r.1-f113r.3|PLANT_IDENTITY|ORIGINAL|ALL_TREE_NODES	IT2a	f113r	PLANT_IDENTITY	ORIGINAL	ALL_TREE_NODES	32	CONTRADICTED	8	8	24	24	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Perwinkle | Quadraginus | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	Bur | Comfrey | Dragonwort | Fumitary | Henbane | Horehound | Ivy | Mandrake | Mastick | Mint | Mugwort | Perwinkle | Quadraginus | Rosemary | Saffron | Sallendine | Savin | Succory | Trifoile | long Aristolochy	0
IT2a|f113r|f113r.1-f113r.3|PLANT_IDENTITY|REVERSED|ALL_TREE_NODES	IT2a	f113r	PLANT_IDENTITY	REVERSED	ALL_TREE_NODES	32	CONTRADICTED	7	7	25	25	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Ivy | Mandrake | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Sallendine | Succory | Trifoile	Bur | Comfrey | Diacedon | Fennill | Frankincense | Henbane | Horehound | Ivy | Mandrake | Mastick | Matry-silva | Milky Thistle | Mint | Mugwort | Perwinkle | Plantain | Quadraginus | Rosemary | Sallendine | Succory | Trifoile	0
IT2a|f113r|f113r.4-f113r.7|MATERIAL|ORIGINAL|ALL_TREE_NODES	IT2a	f113r	MATERIAL	ORIGINAL	ALL_TREE_NODES	34	CONTRADICTED	8	8	26	26	Diacedon | Fennill | Flowers of Marigold | Frankincense | Horehound | Ivy | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Plantain | Rosemary | Saffron | Succory | Trifoile | flowers of Perwinkle | long Aristolochy	Diacedon | Fennill | Flowers of Marigold | Frankincense | Horehound | Ivy | Mandrake | Matry-silva | Milky Thistle | Mint | Mugwort | Penyroial | Plantain | Rosemary | Saffron | Succory | Trifoile | flowers of Perwinkle | long Aristolochy	0
