surface	gdt788_prior_mask	ar_or_rn_tail_union	ar_lineage	excluded_from_semantic_neighbours	excluded_from_learned_whole_donors	component_export_credit
chokokor	1	1	0	1	1	0
chokol	1	0	0	1	1	0
chokolg	1	0	0	1	1	0
chokor	1	1	0	1	1	0
chokoraiin	0	1	0	1	1	0
chokoran	0	1	0	1	1	0
chokshor	0	1	0	1	1	0
cholaiin	0	1	0	1	1	0
cholal	1	0	0	1	1	0
cholalaiin	0	1	0	1	1	0
choldaiin	0	1	0	1	1	0
choldal	1	0	0	1	1	0
choldar	1	1	0	1	1	0
cholfor	0	1	0	1	1	0
cholkaiin	0	1	0	1	1	0
cholkain	0	1	0	1	1	0
cholkal	1	0	0	1	1	0
cholkar	1	1	0	1	1	0
cholkor	0	1	0	1	1	0
cholky	1	0	0	1	1	0
chololy	1	0	0	1	1	0
cholor	0	1	0	1	1	0
choltaiin	1	1	0	1	1	0
choltar	1	1	0	1	1	0
choor	0	1	0	1	1	0
chopar	1	1	0	1	1	0
chopchal	1	0	0	1	1	0
chopdain	0	1	0	1	1	0
chor	0	1	0	1	1	0
choraiin	0	1	0	1	1	0
chorain	0	1	0	1	1	0
chorar	1	1	0	1	1	0
chorcheor	0	1	0	1	1	0
chorcholsal	1	0	0	1	1	0
chorchor	0	1	0	1	1	0
choror	0	1	0	1	1	0
chosaiin	0	1	0	1	1	0
chosar	1	1	0	1	1	0
chot	1	0	0	1	1	0
chotaiin	0	1	0	1	1	0
chotaiir	0	1	0	1	1	0
chotain	1	1	0	1	1	0
chotair	0	1	0	1	1	0
chotal	1	0	0	1	1	0
chotar	1	1	1	1	1	0
chotchey	1	0	0	1	1	0
chotor	1	1	0	1	1	0
chpadar	1	1	0	1	1	0
chpaiin	0	1	0	1	1	0
chpal	1	0	0	1	1	0
chpchar	1	1	0	1	1	0
chpcheor	0	1	0	1	1	0
chpor	0	1	0	1	1	0
chseeor	0	1	0	1	1	0
chsy	1	0	0	1	1	0
chtaiin	0	1	0	1	1	0
chtaiir	0	1	0	1	1	0
chtain	0	1	0	1	1	0
chtair	0	1	0	1	1	0
chtal	1	0	0	1	1	0
chtar	1	1	0	1	1	0
chtchor	0	1	0	1	1	0
chteeor	0	1	0	1	1	0
chteor	0	1	0	1	1	0
chtor	0	1	0	1	1	0
chtshar	1	1	0	1	1	0
chxar	1	1	0	1	1	0
chykaiin	0	1	0	1	1	0
chykar	1	1	0	1	1	0
chykeor	0	1	0	1	1	0
chyokeor	0	1	0	1	1	0
ckhaiin	0	1	0	1	1	0
ckhain	0	1	0	1	1	0
ckhal	1	0	0	1	1	0
ckhar	1	1	0	1	1	0
ckheal	1	0	0	1	1	0
ckhear	1	1	0	1	1	0
ckheodar	1	1	0	1	1	0
ckheor	0	1	0	1	1	0
ckhol	1	0	0	1	1	0
ckhoor	0	1	0	1	1	0
ckhor	0	1	0	1	1	0
cphaiiin	0	1	0	1	1	0
cphaiin	0	1	0	1	1	0
cphal	1	0	0	1	1	0
cphan	0	1	0	1	1	0
cphar	1	1	0	1	1	0
cphchar	1	1	0	1	1	0
cphdor	0	1	0	1	1	0
cpheeain	0	1	0	1	1	0
cpheodar	1	1	0	1	1	0
cpheor	0	1	0	1	1	0
cphoaiin	0	1	0	1	1	0
cphoal	1	0	0	1	1	0
cphodal	1	0	0	1	1	0
cpholkaiin	0	1	0	1	1	0
cphor	0	1	0	1	1	0
cthaiar	1	1	0	1	1	0
cthaiin	0	1	0	1	1	0
cthain	0	1	0	1	1	0
cthal	1	0	0	1	1	0
cthan	0	1	0	1	1	0
cthar	1	1	0	1	1	0
ctharal	1	0	0	1	1	0
cthd	1	0	0	1	1	0
ctheor	1	1	0	1	1	0
cthoaiin	0	1	0	1	1	0
cthodaiin	0	1	0	1	1	0
cthodal	1	0	0	1	1	0
cthodar	1	1	0	1	1	0
cthody	1	0	0	1	1	0
ctholdy	1	0	0	1	1	0
cthoor	0	1	0	1	1	0
cthor	0	1	0	1	1	0
cthorchy	1	0	0	1	1	0
cthororaiin	0	1	0	1	1	0
daar	1	1	0	1	1	0
daiidal	1	0	0	1	1	0
daiidy	1	0	0	1	1	0
daiiin	0	1	0	1	1	0
daiiiry	0	0	1	1	1	0
daiil	1	0	0	1	1	0
daiin	1	1	0	1	1	0
daiinar	1	1	0	1	1	0
daiindy	1	0	0	1	1	0
daiinopal	1	0	0	1	1	0
daiiny	1	0	0	1	1	0
daiir	0	1	0	1	1	0
daiiral	1	0	0	1	1	0
dail	1	0	0	1	1	0
daildain	0	1	0	1	1	0
dain	1	1	0	1	1	0
dainol	1	0	0	1	1	0
dair	0	1	1	1	1	0
dairal	1	0	0	1	1	0
dairar	1	1	0	1	1	0
dairodain	0	1	0	1	1	0
dairody	0	0	1	1	1	0
dairor	0	1	0	1	1	0
dal	1	0	0	1	1	0
dalaiin	0	1	0	1	1	0
dalain	1	1	0	1	1	0
dalal	1	0	0	1	1	0
dalar	1	1	0	1	1	0
dalchal	1	0	0	1	1	0
dalchd	1	0	0	1	1	0
dalchor	0	1	0	1	1	0
daldaiin	0	1	0	1	1	0
daldal	1	0	0	1	1	0
daldar	1	1	0	1	1	0
daldy	1	0	0	1	1	0
dalkain	0	1	0	1	1	0
dalkal	1	0	0	1	1	0
dalkar	1	1	0	1	1	0
dalky	1	0	0	1	1	0
dalor	0	1	0	1	1	0
dalorain	0	1	0	1	1	0
dalshal	1	0	0	1	1	0
daly	1	0	0	1	1	0
dam	1	0	0	1	1	0
dan	0	1	0	1	1	0
daor	0	1	0	1	1	0
dar	1	1	1	1	1	0
daraiiin	0	1	0	1	1	0
daraiin	0	1	0	1	1	0
daral	1	0	0	1	1	0
darala	1	0	0	1	1	0
daram	1	0	0	1	1	0
daramdal	1	0	0	1	1	0
darar	1	1	0	1	1	0
darchdar	1	1	0	1	1	0
darcheedal	1	0	0	1	1	0
darchor	0	1	0	1	1	0
daroal	1	0	0	1	1	0
daror	0	1	0	1	1	0
darshy	1	0	0	1	1	0
dchaiin	0	1	0	1	1	0
dchain	0	1	0	1	1	0
dchair	0	1	0	1	1	0
dchal	1	0	0	1	1	0
dchar	1	1	0	1	1	0
dchdal	1	0	0	1	1	0
dchdar	1	1	0	1	1	0
dchdy	1	0	0	1	1	0
dcheain	0	1	0	1	1	0
dchedaiin	0	1	0	1	1	0
dchedain	0	1	0	1	1	0
dchedar	1	1	0	1	1	0
dcheoaiin	0	1	0	1	1	0
dcheodaiin	0	1	0	1	1	0
dcheodain	0	1	0	1	1	0
dcheor	0	1	0	1	1	0
dcheoty	1	0	0	1	1	0
dcheytain	0	1	0	1	1	0
dchodaiin	0	1	0	1	1	0
dchold	1	0	0	1	1	0
dchor	0	1	0	1	1	0
ddor	0	1	0	1	1	0
deaiin	0	1	0	1	1	0
deeaiir	0	1	0	1	1	0
deear	1	1	0	1	1	0
deedar	1	1	0	1	1	0
dkaiin	0	1	0	1	1	0
dkain	0	1	0	1	1	0
dkair	0	1	0	1	1	0
dkar	1	1	0	1	1	0
dkeeor	0	1	0	1	1	0
dkol	1	0	0	1	1	0
dlaiin	0	1	0	1	1	0
dlar	1	1	0	1	1	0
dlkal	1	0	0	1	1	0
doaiin	0	1	0	1	1	0
doal	1	0	0	1	1	0
dodaiin	0	1	0	1	1	0
dodar	1	1	0	1	1	0
doeoear	1	1	0	1	1	0
dokal	1	0	0	1	1	0
doldaiin	0	1	0	1	1	0
doleodaiin	0	1	0	1	1	0
dolkain	0	1	0	1	1	0
dolor	0	1	0	1	1	0
dolsain	0	1	0	1	1	0
dor	0	1	0	1	1	0
doraiin	0	1	0	1	1	0
dorain	0	1	0	1	1	0
doror	0	1	0	1	1	0
dshal	1	0	0	1	1	0
dshedal	1	0	0	1	1	0
dsheedal	1	0	0	1	1	0
dsheodar	1	1	0	1	1	0
dsheor	0	1	0	1	1	0
dshodal	1	0	0	1	1	0
dshodar	1	1	0	1	1	0
dsholdaiir	0	1	0	1	1	0
dshor	0	1	0	1	1	0
dtal	1	0	0	1	1	0
dtchan	0	1	0	1	1	0
dyaiin	0	1	0	1	1	0
dyair	0	1	0	1	1	0
dychear	1	1	0	1	1	0
dykaiin	0	1	0	1	1	0
dykain	0	1	0	1	1	0
dykchal	1	0	0	1	1	0
dykeedain	0	1	0	1	1	0
dykeor	0	1	0	1	1	0
dytain	0	1	0	1	1	0
dytal	1	0	0	1	1	0
dytar	1	1	0	1	1	0
dytchor	0	1	0	1	1	0
eaiin	0	1	0	1	1	0
ear	1	1	0	1	1	0
eeal	1	0	0	1	1	0
eeeodaiin	0	1	0	1	1	0
eeesal	1	0	0	1	1	0
eekain	0	1	0	1	1	0
eeodaiin	0	1	0	1	1	0
eeokal	1	0	0	1	1	0
eeor	0	1	0	1	1	0
ekar	1	1	0	1	1	0
eodar	1	1	0	1	1	0
eor	0	1	0	1	1	0
eosaiin	0	1	0	1	1	0
epaiin	0	1	0	1	1	0
etaiin	0	1	0	1	1	0
etar	1	1	0	1	1	0
faiir	0	1	0	1	1	0
fairal	1	0	0	1	1	0
far	1	1	0	1	1	0
fchaiin	0	1	0	1	1	0
fchdar	1	1	0	1	1	0
fchedypaiin	0	1	0	1	1	0
fcheodal	1	0	0	1	1	0
fcheokair	0	1	0	1	1	0
fchochor	0	1	0	1	1	0
fchocthor	0	1	0	1	1	0
fchodaiin	0	1	0	1	1	0
fchor	0	1	0	1	1	0
fdar	1	1	1	1	1	0
fdykain	0	1	0	1	1	0
foar	1	1	0	1	1	0
fochor	0	1	0	1	1	0
fodal	1	0	0	1	1	0
fodan	0	1	0	1	1	0
foeear	1	1	0	1	1	0
foidaiin	0	1	0	1	1	0
folaiin	0	1	0	1	1	0
folchear	1	1	0	1	1	0
foldaiin	0	1	0	1	1	0
folor	0	1	0	1	1	0
fschedal	1	0	0	1	1	0
fshor	0	1	0	1	1	0
iirain	0	1	0	1	1	0
iirchal	1	0	0	1	1	0
kaiiidal	1	0	0	1	1	0
kaiiin	0	1	0	1	1	0
kaiin	0	1	0	1	1	0
kaiir	0	1	0	1	1	0
kain	0	1	0	1	1	0
kair	0	1	0	1	1	0
kaisar	1	1	0	1	1	0
kal	1	0	0	1	1	0
kaldaiin	0	1	0	1	1	0
kalkal	1	0	0	1	1	0
kan	0	1	0	1	1	0
kaolkar	1	1	0	1	1	0
kar	1	1	1	1	1	0
karal	1	0	0	1	1	0
