locus	selected_path_id	source	segmentation	rule
f83r.21	f83r.21|P01	solkeedy qokedy otedy sol chedy lkedy qokchedy qokedy chckhdy sar	solkeedy | qokedy | otedy | sol | chedy | lkedy | qokchedy | qokedy | chckhdy | sar	source-symbol stream
f83r.22	f83r.22|P01	schedair otchedy qokeedy chedain chedy qotedaiin otaiin otedy ldy	schedair | otchedy | qokeedy | chedain | chedy | qotedaiin | otaiin | otedy | ldy	source-symbol stream
f83r.23	f83r.23|P01	tchedy qotedy qokal shedy qokedy shecthedy shecthy otor chedy	tchedy | qotedy | qokal | shedy | qokedy | shecthedy | shecthy | otor | chedy	source-symbol stream
f83r.24	f83r.24|P01	soiiin checthy chety otaiin olsaly shedy	soiiin | checthy | chety | otaiin | olsaly | shedy	source-symbol stream
f83r.25	f83r.25|P01	qokeedy qolchey qokeey qokedy chedy otal	qokeedy | qolchey | qokeey | qokedy | chedy | otal	source-symbol stream
f83r.26	f83r.26|P01	otchey qokeey qoky tol shedy qokylddy	otchey | qokeey | qoky | tol | shedy | qokylddy	source-symbol stream
f83r.27	f83r.27|P01	dain chedy qokeedy shckhedy shckhedy	dain | chedy | qokeedy | shckhedy | shckhedy	source-symbol stream
f83r.28	f83r.28|P01	saiin cheeky sheey qokedy shedy oldy	saiin | cheeky | sheey | qokedy | shedy | oldy	source-symbol stream
f83r.29	f83r.29|P01	salchedy cheey qody kesd oldy	salchedy | cheey | qody | kesd | oldy	source-symbol stream
f83r.3	f83r.3|P01	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	olkeedy | qotal | chkeedy | chey | daiin | chey | lchedy | qokaiin | qotal | dar	source-symbol stream
f83r.30	f83r.30|P01	s okeedy qokeedy qoky saii	s | okeedy | qokeedy | qoky | saii	source-symbol stream
f83r.31	f83r.31|P01	techedy qotchedy okeedy ldy	techedy | qotchedy | okeedy | ldy	source-symbol stream
f83r.32	f83r.32|P01	cheol qokchedy lchedy qokey	cheol | qokchedy | lchedy | qokey	source-symbol stream
f83r.33	f83r.33|P01	sy s aiin sheekchy qokey sain	sy | s | aiin | sheekchy | qokey | sain	source-symbol stream
f83r.34	f83r.34|P01	shky lchedy dolshed qokchy	shky | lchedy | dolshed | qokchy	source-symbol stream
f83r.35	f83r.35|P01	saiin cheky okeeol okain chdy	saiin | cheky | okeeol | okain | chdy	source-symbol stream
f83r.36	f83r.36|P01	sor aiin shy shey lshedy qoky	sor | aiin | shy | shey | lshedy | qoky	source-symbol stream
f83r.37	f83r.37|P01	sol lkedy lchedy qokol shedy	sol | lkedy | lchedy | qokol | shedy	source-symbol stream
f83r.38	f83r.38|P01	or chey qockhey dairydy	or | chey | qockhey | dairydy	source-symbol stream
f83r.39	f83r.39|P01	qokain shey kain chckhal	qokain | shey | kain | chckhal	source-symbol stream
f83r.4	f83r.4|P01	qokshedy chedy qokedy chkedy daiin shetar shedy qekaiin chedy	qokshedy | chedy | qokedy | chkedy | daiin | shetar | shedy | qekaiin | chedy	source-symbol stream
f83r.40	f83r.40|P01	solchedy olchedy chedaiin	solchedy | olchedy | chedaiin	source-symbol stream
f83r.41	f83r.41|P01	solkey lchedy qolkain dal	solkey | lchedy | qolkain | dal	source-symbol stream
f83r.42	f83r.42|P01	sol ol chcthdy l chedy lchdy	sol | ol | chcthdy | l | chedy | lchdy	source-symbol stream
f83r.43	f83r.43|P01	daiin sheol chedy qotal sar	daiin | sheol | chedy | qotal | sar	source-symbol stream
f83r.44	f83r.44|P01	skar shedy	skar | shedy	source-symbol stream
f83r.45	f83r.45|P01	chtorol	chtorol	source-symbol stream
