world	nonwrapper_gain	full_gain	max_two_gain
3080	7.520092369	-35.893783196	7.520092369
3081	-1.269600881	-73.539520926	-1.269600881
3082	-1.720401502	-44.689889909	-1.720401502
3083	7.889769256	-89.082253006	7.889769256
3084	15.543240699	-70.712210047	15.543240699
3085	6.386897696	-60.638608732	6.386897696
3086	7.054326432	-75.106070961	7.054326432
3087	15.457483517	-57.474874062	15.457483517
3088	15.756308154	-47.580219666	15.756308154
3089	6.173883709	-90.003386259	6.173883709
3090	15.306568402	4.141555582	15.306568402
3091	7.029580514	-60.409716320	7.029580514
3092	16.007416466	-52.421224425	16.007416466
3093	6.624625906	-16.682770824	6.624625906
3094	6.836637448	-8.168100262	6.836637448
3095	6.689628534	-27.976393954	6.689628534
3096	-1.286861799	-111.694271403	-1.286861799
3097	-1.139839612	-34.684965080	-1.139839612
3098	7.265604226	-58.164310191	7.265604226
3099	-1.299261277	-87.499852572	-1.299261277
3100	7.017242122	-70.990706664	7.017242122
3101	5.083077081	-77.452149386	5.083077081
3102	6.210616610	-60.560444320	6.210616610
3103	6.018512004	-35.138617978	6.018512004
3104	-2.769490264	-59.234503198	-2.769490264
3105	6.841258977	-95.175839992	6.841258977
3106	-2.552880810	-72.735343826	-2.552880810
3107	7.336128305	-62.281639321	7.336128305
3108	-0.860134784	-44.317468320	-0.860134784
3109	-1.774834436	-29.518914317	-1.774834436
3110	7.296211198	-34.730219621	7.296211198
3111	-2.206127917	-71.056532311	-2.206127917
3112	-1.394425670	-105.641986405	-1.394425670
3113	6.660805686	-37.802057715	6.660805686
3114	6.300157703	-67.528211089	6.300157703
3115	-2.411047565	-75.231700234	-2.411047565
3116	6.634399788	-47.126455583	6.634399788
3117	7.237965708	-23.787245298	7.237965708
3118	-0.986967344	-81.114793346	-0.986967344
3119	14.678348092	-42.202752617	14.678348092
3120	7.115337696	-41.007226588	7.115337696
3121	-11.656369785	-58.417536799	-11.656369785
3122	7.456287628	-59.880294859	7.456287628
3123	6.649662115	-72.908602907	6.649662115
3124	7.592597923	-49.762414875	7.592597923
3125	-3.092891297	-56.762563593	-3.092891297
3126	6.844351653	-11.432404830	6.844351653
3127	6.387049079	-82.736073070	6.387049079
3128	6.022977543	-72.348866319	6.022977543
3129	-1.545270348	-84.373027925	-1.545270348
3130	6.409907421	-47.376286072	6.409907421
3131	14.888440368	-39.282968577	14.888440368
3132	-1.328874006	-68.785069579	-1.328874006
3133	15.101358462	-28.491427178	15.101358462
3134	6.402242341	-48.398448594	6.402242341
3135	-1.993278775	-82.600938866	-1.993278775
3136	-2.638492198	-78.976023974	-2.638492198
3137	-1.370604106	-80.969590166	-1.370604106
3138	-1.958702607	-24.873661778	-1.958702607
3139	15.469086900	-74.843442091	15.469086900
3140	16.562986204	-41.133656160	16.562986204
3141	5.902842298	-48.810620427	5.902842298
3142	16.121103967	-78.353231965	16.121103967
3143	-1.349845282	-63.445373535	-1.349845282
3144	-1.283875370	-69.682874871	-1.283875370
3145	-2.782690873	-60.964075845	-2.782690873
3146	14.888440368	-69.195402937	14.888440368
3147	7.547657362	-60.925381013	7.547657362
3148	7.337867911	-36.515288191	7.337867911
3149	6.153062130	-91.890302028	6.153062130
3150	-1.498703471	-56.855515615	-1.498703471
3151	-1.824152480	-45.146226798	-1.824152480
3152	-1.090817444	-77.740430519	-1.090817444
3153	-10.354413260	-90.136654043	-10.354413260
3154	7.291903259	-24.084956193	7.291903259
3155	-2.790515711	-56.946780556	-2.790515711
3156	-1.353644617	-68.658304606	-1.353644617
3157	-0.615337593	-57.175159795	-0.615337593
3158	7.738863090	-50.325106908	7.738863090
3159	6.827236175	-90.039724361	6.827236175
3160	-2.572725451	-63.984113069	-2.572725451
3161	7.357917281	-31.987341166	7.357917281
3162	-2.587158941	-86.474415562	-2.587158941
3163	7.934563163	-47.576163277	7.934563163
3164	14.621069139	-28.177757985	14.621069139
3165	-2.329351047	-43.381918956	-2.329351047
3166	6.853187886	-63.107435120	6.853187886
3167	7.542053759	-58.476370289	7.542053759
3168	6.969330837	-74.921567844	6.969330837
3169	6.022977543	-83.172680652	6.022977543
3170	7.923205612	-12.670031071	7.923205612
3171	6.004361488	-68.336517811	6.004361488
3172	-10.522315100	-50.373559324	-10.522315100
3173	6.677182757	-74.479658615	6.677182757
3174	-1.591221444	-46.391047659	-1.591221444
3175	13.809649163	-28.369971990	13.809649163
3176	-1.045354695	-66.974557015	-1.045354695
3177	-1.491287419	-62.386689212	-1.491287419
3178	7.956493999	-54.155194895	7.956493999
3179	-0.915338295	-78.347407128	-0.915338295
3180	7.115428797	-63.195854422	7.115428797
3181	-1.784817270	-47.289402775	-1.784817270
3182	-10.936612907	-76.461668669	-10.936612907
3183	7.049584506	-60.468395037	7.049584506
3184	7.720870037	-29.399102430	7.720870037
3185	6.932246527	-42.727887725	6.932246527
3186	15.761843161	-98.996647047	15.761843161
3187	-0.680408295	-66.945274049	-0.680408295
3188	6.373785716	-56.654899538	6.373785716
3189	-2.138667645	-35.366195871	-2.138667645
3190	7.131702685	-54.262356323	7.131702685
3191	14.347312532	-32.701424446	14.347312532
3192	16.416734594	-45.741421840	16.416734594
3193	-0.826575547	-69.014327685	-0.826575547
3194	-0.643230677	-40.699431492	-0.643230677
3195	6.890845329	-22.087140127	6.890845329
3196	15.242818837	-67.529839456	15.242818837
3197	16.629710948	-15.215409622	16.629710948
3198	7.959662127	-39.675396202	7.959662127
3199	7.951983083	-35.005765040	7.951983083
3200	15.339002313	-29.836616223	15.339002313
3201	7.714348181	-51.625919326	7.714348181
3202	7.416614778	-42.152371208	7.416614778
3203	-10.135828174	-63.983151948	-10.135828174
3204	16.128600046	-54.964864244	16.128600046
3205	-1.751528883	-44.960244073	-1.751528883
3206	6.693445488	-59.459256494	6.693445488
3207	-9.506395499	-68.123941228	-9.506395499
3208	-0.922112810	-16.574623496	-0.922112810
3209	6.828058369	-60.491810296	6.828058369
3210	-9.768166760	-67.643764088	-9.768166760
3211	-1.704900518	-51.614126697	-1.704900518
3212	-10.533188097	-54.242514681	-10.533188097
3213	6.389734428	-24.061835029	6.389734428
3214	6.153062130	-47.580476722	6.153062130
3215	7.107658652	-69.708263806	7.107658652
3216	7.299776111	-71.778581202	7.299776111
3217	15.086013818	-70.373806146	15.086013818
3218	15.553930846	-49.714132592	15.553930846
3219	7.104875388	-52.487968645	7.104875388
3220	15.973894545	-60.531430982	15.973894545
3221	6.769723236	-30.499268760	6.769723236
3222	-2.360730477	-76.119486134	-2.360730477
3223	-2.204516728	-57.970115555	-2.204516728
3224	6.635048373	-58.711970952	6.635048373
3225	-1.703886111	-61.542196589	-1.703886111
3226	-0.626167388	-58.657248092	-0.626167388
3227	16.375909023	-45.548226107	16.375909023
3228	6.149307313	-87.480064595	6.149307313
3229	7.042714099	-37.387805483	7.042714099
3230	6.841439229	-28.303413790	6.841439229
3231	-1.913793459	-96.016857296	-1.913793459
3232	15.964493272	-56.536780188	15.964493272
3233	-2.862118115	-56.985548811	-2.862118115
3234	6.623628068	-82.506712356	6.623628068
3235	-1.513952056	-93.485362000	-1.513952056
3236	15.740963509	-38.853935490	15.740963509
3237	8.035669839	-10.101338594	8.035669839
3238	-0.848734380	-74.746860481	-0.848734380
3239	-2.189617321	-66.521200616	-2.189617321
3240	-2.147740566	-41.484702166	-2.147740566
3241	7.797130409	-30.820285615	7.797130409
3242	-2.807776280	-47.651335163	-2.807776280
3243	-0.856292595	-70.443770735	-0.856292595
3244	16.211529447	-0.731904285	16.211529447
3245	7.116309249	-80.192291625	7.116309249
3246	6.424075314	-55.025210512	6.424075314
3247	-2.665308784	-88.410397824	-2.665308784
3248	-1.910105665	-79.674927615	-1.910105665
3249	-2.873551976	-68.026419230	-2.873551976
3250	16.977426444	-73.012949805	16.977426444
3251	14.871219640	-22.116412313	14.871219640
3252	5.788493392	-23.532081436	5.788493392
