language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
latin	or	535	W	1.0	longius	0.16666666666666666	W,W,W,W,W,W	longius,hostibus,omnibus,caesar,legatis,caesari
latin	s	486	W	1.0	legiones	0.16666666666666666	W,W,W,W,W,W	legiones,proeliis,possent,galliae,propter,omnibus
latin	daN	387	S	1.0	qua	0.16666666666666666	S,S,S,S,S,S	qua,est,non,rem,qui,et
latin	ody	272	S	1.0	tra	0.16666666666666666	S,S,S,S,S,S	tra,que,ret,unt,ere,ius
latin	am	242	S	1.0	tem	0.16666666666666666	S,S,S,S,S,S	tem,ita,ant,int,tur,rum
latin	Cy	212	S	1.0	ere	0.16666666666666666	S,S,S,S,S,S	ere,cum,que,tus,tes,ant
latin	Cdy	167	S	1.0	ant	0.16666666666666666	S,S,S,S,S,S	ant,sar,num,tis,ium,cum
latin	Cor	100	S	1.0	est	0.16666666666666666	S,S,S,S,S,S	est,ini,quo,iis,ita,nos
latin	u	3	L	1.0	d	0.16666666666666666	L,L,L,L,L,L	d,q,m,i,t,c
latin	ar	766	W	0.8333333333333334	helvetii	0.16666666666666666	W,S,W,W,W,W	helvetii,tum,caesar,castris,exercitum,caesarem
latin	ot	689	S	0.8333333333333334	ven	0.16666666666666666	S,S,N,S,S,S	ven,con,,per,par,in
latin	k	478	W	0.8333333333333334	helvetios	0.16666666666666666	W,W,W,S,W,W	helvetios,haeduorum,gallorum,ari,proeliis,possent
latin	al	476	W	0.8333333333333334	navibus	0.16666666666666666	W,W,S,W,W,W	navibus,finibus,qui,galliam,nostris,civitates
latin	Se	260	S	0.8333333333333334	quo	0.16666666666666666	S,S,S,S,N,S	quo,iti,tra,ver,,per
latin	r	250	S	0.8333333333333334	nos	0.16666666666666666	S,S,S,S,S,L	nos,tur,pro,bus,de,i
latin	dar	227	S	0.8333333333333334	a	0.16666666666666666	L,S,S,S,S,S	a,mis,de,ani,res,qua
latin	dal	174	S	0.8333333333333334	a	0.16666666666666666	L,S,S,S,S,S	a,nis,tri,iti,se,ari
latin	CEy	113	S	0.8333333333333334	cae	0.16666666666666666	S,S,L,S,S,S	cae,tus,a,si,sar,mis
latin	h	1	L	0.8333333333333334	q	0.16666666666666666	L,L,L,L,L,D	q,o,n,u,i,dd
latin	qok	444	S	0.6666666666666666	per	0.16666666666666666	S,S,L,S,S,N	per,ver,e,res,eti,
latin	S	439	W	0.6666666666666666	con	0.16666666666666666	S,W,W,W,S,W	con,essent,legatos,navibus,ter,auxilium
latin	ey	259	S	0.6666666666666666	i	0.16666666666666666	L,S,S,L,S,S	i,sse,tur,e,unt,rat
latin	daI	148	L	0.5	t	0.16666666666666666	L,S,L,S,S,L	t,hos,m,bat,pro,a
latin	z	1	L	0.5	g	0.16666666666666666	L,D,L,D,D,L	g,rr,n,ss,nn,o
middle_high_german	p	338	N	0.8333333333333334		0.8333333333333334	N,N,N,N,W,N	,,,,ungemach,
middle_high_german	qokaI	74	D	1.0	pp	0.6666666666666666	D,D,D,D,D,D	pp,pp,mm,pp,pp,tt
middle_high_german	okal	52	L	1.0	r	0.6666666666666666	L,L,L,L,L,L	r,r,r,r,s,n
middle_high_german	F	13	L	1.0	s	0.6666666666666666	L,L,L,L,L,L	s,a,s,s,s,z
middle_high_german	o	609	W	1.0	geschach	0.5	W,W,W,W,W,W	vrouuuen,geschach,geschach,geschach,geschehen,geschehen
middle_high_german	okaN	92	L	1.0	t	0.5	L,L,L,L,L,L	t,z,t,n,t,z
middle_high_german	m	80	L	1.0	n	0.5	L,L,L,L,L,L	a,e,z,n,n,n
middle_high_german	oky	44	L	1.0	t	0.5	L,L,L,L,L,L	t,n,n,t,t,r
middle_high_german	g	38	L	1.0	t	0.5	L,L,L,L,L,L	r,t,n,z,t,t
middle_high_german	n	37	L	1.0	n	0.5	L,L,L,L,L,L	n,z,n,r,n,i
middle_high_german	v	0	L	1.0	r	0.5	L,L,L,L,L,L	l,a,q,r,r,r
middle_high_german	lk	249	L	0.8333333333333334	i	0.5	L,L,L,L,D,L	i,i,i,s,uu,m
middle_high_german	Ky	120	L	0.8333333333333334	t	0.5	L,L,L,L,S,L	e,t,t,z,zen,t
middle_high_german	qokEdy	105	D	0.8333333333333334	ff	0.5	D,S,D,D,D,D	mm,im,pp,ff,ff,ff
middle_high_german	N	88	L	0.8333333333333334	n	0.5	S,L,L,L,L,L	und,e,z,n,n,n
middle_high_german	os	86	L	0.8333333333333334	e	0.5	L,L,L,L,S,L	t,n,e,e,ist,e
middle_high_german	Ty	74	L	0.8333333333333334	t	0.5	L,L,L,L,S,L	e,t,t,n,so,t
middle_high_german	qok	444	S	0.6666666666666666	ver	0.5	S,N,N,S,S,S	ver,,,ber,ver,ver
middle_high_german	qokEy	134	L	0.6666666666666666	z	0.5	L,L,D,L,D,L	z,z,ff,z,zz,n
