fold	surface	truth_recipe	candidate_count_capped	truth_generated	compiler_rank	form_decoder_rank	anchor_rank	compiler_top1	form_decoder_top1	anchor_top1	truth_anchor_cost	anchor_top1_cost
0	qokeoefy	OK+E+O+D_ADDR+Y	29	NO	0	0	0	OK+E+O+E+LOCAL_CHAR_F+Y	NONE	NONE	NONE	NONE
0	qokor	OK+OR	22	YES	1	1	1	OK+OR	OK+OR	OK+OR	0.250641713	0.250641713
0	qokylddy	OK+Y+L+D_ADDR+DY	100	YES	11	2	1	OK+Y+L+D_ADDR+D_ADDR+Y	OK+Y+L+D_ADDR+Y	OK+Y+L+D_ADDR+DY	0.250000000	0.250000000
0	qolaiin	OL+AIIN	100	YES	1	1	1	OL+AIIN	OL+AIIN	OL+AIIN	0.250000000	0.250000000
0	qolain	OL+AIN	34	YES	1	1	1	OL+AIN	OL+AIN	OL+AIN	0.250000000	0.250000000
0	qolair	OL+D_ADDR+AIR	62	YES	2	4	4	OL+AIR	OL+AIR	OL+AIR	2.250000000	0.250000000
0	qolcheedy	OL+SH+EE+DY	100	YES	20	5	5	OL+E+DY	OL+CH+EE+DY	CARRIER_Q+OL+CH+EE+DY	1.250000000	0.000000000
0	qolchy	OL+CH+Y	13	YES	2	2	1	OL+Y	OL+Y	OL+CH+Y	0.250000000	0.250000000
0	qolkeeoly	OL+K+EE+OL+Y	62	YES	2	1	1	OL+K+OL+Y	OL+K+EE+OL+Y	OL+K+EE+OL+Y	0.250000000	0.250000000
0	qop	CARRIER_Q+O+P	5	YES	1	1	1	CARRIER_Q+O+P	CARRIER_Q+O+P	CARRIER_Q+O+P	0.000000000	0.000000000
0	qopchey	O+P+E+Y	51	YES	21	9	9	CARRIER_Q+O+P+CHD+Y	CARRIER_Q+O+P+Y	CARRIER_Q+O+P+CH+E+Y	2.250000000	0.000000000
0	qopchy	O+P+Y	22	YES	4	4	4	CARRIER_Q+O+CH+T+Y	CARRIER_Q+O+P+CH+Y	CARRIER_Q+O+P+CH+Y	2.250000000	0.000000000
0	qopol	CARRIER_Q+O+P+OL	10	YES	1	1	1	CARRIER_Q+O+P+OL	CARRIER_Q+O+P+OL	CARRIER_Q+O+P+OL	0.000000000	0.000000000
0	qopshdy	CARRIER_Q+O+P+SH+D_ADDR+Y	100	YES	1	1	1	CARRIER_Q+O+P+SH+D_ADDR+Y	CARRIER_Q+O+P+SH+D_ADDR+Y	CARRIER_Q+O+P+SH+D_ADDR+Y	0.000000000	0.000000000
0	qopy	CARRIER_Q+O+P+Y	5	YES	1	1	1	CARRIER_Q+O+P+Y	CARRIER_Q+O+P+Y	CARRIER_Q+O+P+Y	0.000000000	0.000000000
0	qor	OR	5	NO	0	0	0	CARRIER_Q+OR	NONE	NONE	NONE	NONE
0	qorain	OR+AIN	59	NO	0	0	0	CARRIER_Q+OR+AIN	NONE	NONE	NONE	NONE
0	qot	OT	4	YES	1	1	1	OT	OT	OT	0.254919024	0.254919024
0	qotaiin	OT+AIIN	100	YES	1	1	1	OT+AIIN	OT+AIIN	OT+AIIN	0.254919024	0.254919024
0	qotain	OT+AIN	43	YES	1	1	1	OT+AIN	OT+AIN	OT+AIN	0.254919024	0.254919024
0	qotaly	OT+AL+Y	23	YES	1	1	1	OT+AL+Y	OT+AL+Y	OT+AL+Y	0.250000000	0.250000000
0	qotan	OT+AN	13	YES	1	1	1	OT+AN	OT+AN	OT+AN	0.254919024	0.254919024
0	qotchy	OT+Y	17	YES	2	2	3	OT+CH+Y	OT+CH+Y	OT+CH+Y	1.509465262	0.254919024
0	qotey	OT+E+Y	9	YES	1	1	1	OT+E+Y	OT+E+Y	OT+E+Y	0.254919024	0.254919024
0	ralchey	R+AL+CH+E+Y	76	YES	4	2	1	R+AL+Y	R+AL+Y	R+AL+CH+E+Y	0.000000000	0.000000000
0	rtain	R+T+AIN	26	YES	1	1	1	R+T+AIN	R+T+AIN	R+T+AIN	0.000000000	0.000000000
0	saiin	S+AIIN	49	YES	1	1	1	S+AIIN	S+AIIN	S+AIIN	0.000000000	0.000000000
0	salchedy	S+AL+CHD+Y	100	YES	2	2	1	S+AL+CH+E+DY	S+AL+CHD+DY	S+AL+CHD+Y	0.000000000	0.000000000
0	salsaly	S+AL+S+AL+Y	80	YES	4	2	2	S+AL+AL+Y	S+AL+AL+Y	S+AL+AL+Y	0.000000000	1.000000000
0	sar	S+AR	7	YES	1	1	1	S+AR	S+AR	S+AR	0.000000000	0.000000000
0	saral	S+AR+AL	28	YES	1	1	1	S+AR+AL	S+AR+AL	S+AR+AL	0.000000000	0.000000000
0	sarol	S+AR+OL	19	YES	1	1	1	S+AR+OL	S+AR+OL	S+AR+OL	0.000000000	0.000000000
0	schey	S+CH+E+Y	18	YES	2	2	1	S+Y	S+Y	S+CH+E+Y	0.000000000	0.000000000
0	schoal	SH+O+AL	20	NO	0	0	0	S+CH+O+AL	NONE	NONE	NONE	NONE
0	schol	RESUME_CARD	17	NO	0	0	0	S+OL	NONE	NONE	NONE	NONE
0	seey	S+EE+Y	8	YES	1	1	1	S+EE+Y	S+EE+Y	S+EE+Y	0.000000000	0.000000000
0	sh	SH	3	YES	1	1	1	SH	SH	SH	0.000000000	0.000000000
0	shal	SH+AL	7	YES	1	1	1	SH+AL	SH+AL	SH+AL	0.000000000	0.000000000
0	shchey	SH+Y	24	YES	1	2	2	SH+Y	SH+CH+E+Y	SH+CH+E+Y	2.254546237	0.000000000
0	shckhedy	SH+CH+K+E+DY	100	YES	1	1	1	SH+CH+K+E+DY	SH+CH+K+E+DY	SH+CH+K+E+DY	0.500000000	0.500000000
0	shdy	SH+D_ADDR+Y	20	YES	1	1	1	SH+D_ADDR+Y	SH+D_ADDR+Y	SH+D_ADDR+Y	0.000000000	0.000000000
0	sheal	SH+E+AL	11	YES	1	1	1	SH+E+AL	SH+E+AL	SH+E+AL	0.000000000	0.000000000
0	shechy	SH+E+CH+Y	18	YES	1	1	1	SH+E+CH+Y	SH+E+CH+Y	SH+E+CH+Y	0.000000000	0.000000000
0	sheckhal	SH+E+CH+K+AL	77	YES	1	1	1	SH+E+CH+K+AL	SH+E+CH+K+AL	SH+E+CH+K+AL	0.508751938	0.508751938
0	sheckhy	SH+E+CH+K+Y	40	YES	1	1	1	SH+E+CH+K+Y	SH+E+CH+K+Y	SH+E+CH+K+Y	0.508751938	0.508751938
0	shecthedchy	SH+E+CH+T+CHD+Y	100	YES	3	5	10	SH+E+CH+T+E+D_ADDR+Y	SH+E+CH+T+E+D_ADDR+CH+Y	SH+E+CH+T+E+D_ADDR+CH+Y	3.754546237	0.512036368
0	shecthedy	SH+E+CH+T+E+D_ADDR+Y	100	YES	3	8	5	SH+E+CH+T+E+DY	SH+E+CH+T+E+DY	SH+E+CH+T+E+DY	0.512036368	0.512036368
0	shed	SH+E+D_ADDR	16	YES	2	2	2	SH+E	SH+E	SH+E	0.000000000	0.299643689
0	shedaiin	SH+E+AIIN	100	YES	1	1	1	SH+E+AIIN	SH+E+AIIN	SH+E+AIIN	0.267788696	0.267788696
0	shedar	SH+E+D_ADDR+AR	72	YES	1	1	1	SH+E+D_ADDR+AR	SH+E+D_ADDR+AR	SH+E+D_ADDR+AR	0.000000000	0.000000000
0	sheeor	SH+EE+OR	39	YES	1	1	1	SH+EE+OR	SH+EE+OR	SH+EE+OR	0.000000000	0.000000000
0	shek	SH+E+K	11	YES	1	1	1	SH+E+K	SH+E+K	SH+E+K	0.000000000	0.000000000
0	sheol	SH+E+OL	9	YES	1	1	1	SH+E+OL	SH+E+OL	SH+E+OL	0.000000000	0.000000000
0	sheoldg	SH+E+OL+D_ADDR+LOCAL_CHAR_G	78	YES	1	1	1	SH+E+OL+D_ADDR+LOCAL_CHAR_G	SH+E+OL+D_ADDR+LOCAL_CHAR_G	SH+E+OL+D_ADDR+LOCAL_CHAR_G	0.000000000	0.000000000
0	sheom	SH+E+O+AM_ADDR	10	YES	1	1	1	SH+E+O+AM_ADDR	SH+E+O+AM_ADDR	SH+E+O+AM_ADDR	0.505264373	0.505264373
0	sheos	SH+E+O+S	22	YES	1	1	1	SH+E+O+S	SH+E+O+S	SH+E+O+S	0.000000000	0.000000000
0	shoety	SH+O+E+T+Y	11	YES	1	1	1	SH+O+E+T+Y	SH+O+E+T+Y	SH+O+E+T+Y	0.000000000	0.000000000
0	sholdy	SH+OL+D_ADDR+Y	54	YES	4	5	3	SH+OL+DY	SH+OL+DY	SH+OL+DY	0.000000000	0.000000000
0	shyk	Y+K	5	YES	2	2	2	SH+Y+K	SH+Y+K	SH+Y+K	1.254546237	0.000000000
0	soeey	S+O+EE+Y	14	YES	1	1	1	S+O+EE+Y	S+O+EE+Y	S+O+EE+Y	0.000000000	0.000000000
0	soiiin	S+O+LOCAL_CHAR_I+IIN	71	YES	5	5	2	S+O+IIN	S+O+IIN	S+O+IIN	0.000000000	0.250000000
0	solkeey	OL+K+EE+Y	27	YES	1	1	1	OL+K+EE+Y	OL+K+EE+Y	OL+K+EE+Y	1.000000000	1.000000000
0	solkey	OL+K+E+Y	18	YES	1	1	1	OL+K+E+Y	OL+K+E+Y	OL+K+E+Y	1.000000000	1.000000000
0	sor	S+OR	9	YES	1	1	1	S+OR	S+OR	S+OR	0.000000000	0.000000000
0	soraiir	S+OR+AIIN+R	100	YES	6	2	2	S+OR+IIN+R	S+OR+IIN+R	S+OR+IIN+R	2.000000000	2.000000000
