edition	k	model	records	held_folios	pseudo_gain_bits	selector_paid_gain_bits	positive_folios	local_p	max_20_p	null_median_bits	mean_cross_reading_ari
ZL3b	6	OPEN_COMPILER12	170	8	0.629011830492	-3.692916264395	6	0.586770807908	0.999511837930	0.663042152095	0.098727608176
ZL3b	6	OPEN_EDGE29	170	8	0.544507871684	-3.777420223203	5	0.377349279961	1.000000000000	0.457120521744	0.098727608176
ZL3b	6	RAW_OPEN_CHAR3_HASH32	170	8	1.333807763542	-2.988120331345	7	0.082255308763	0.444471564559	0.861461872474	0.098727608176
IT2a	2	OPEN_WRAPPER7	170	8	0.525827238408	-3.796100856479	7	0.399072492067	1.000000000000	0.460112045188	0.696732796753
IT2a	2	OPEN_COMPILER12	170	8	1.076561774839	-3.245366320048	6	0.083963876007	0.855992189407	0.621132115418	0.696732796753
IT2a	2	OPEN_EDGE29	170	8	1.580421351639	-2.741506743248	8	0.064193312180	0.195752989993	1.108435028079	0.696732796753
IT2a	2	RAW_OPEN_CHAR3_HASH32	170	8	-0.069648335169	-4.391576430057	5	0.260922626312	1.000000000000	-0.254718646561	0.696732796753
IT2a	3	OPEN_WRAPPER7	170	8	1.073757054863	-3.248171040025	7	0.137417622651	0.858432999756	0.828125751993	0.240788837272
IT2a	3	OPEN_COMPILER12	170	8	1.663892568263	-2.658035526624	7	0.010007322431	0.117891139858	1.022560402968	0.240788837272
IT2a	3	OPEN_EDGE29	170	8	1.784793234210	-2.537134860677	7	0.021235050037	0.043446424213	1.194206883447	0.240788837272
IT2a	3	RAW_OPEN_CHAR3_HASH32	170	8	1.406270178169	-2.915657916718	6	0.139614351965	0.408835733464	0.994373164047	0.240788837272
IT2a	4	OPEN_WRAPPER7	170	8	0.648007670609	-3.673920424278	7	0.050768855260	0.999267756895	0.366556955446	0.138903689124
IT2a	4	OPEN_COMPILER12	170	8	0.761696296384	-3.560231798503	6	0.065413717354	0.994142055162	0.457582457238	0.138903689124
IT2a	4	OPEN_EDGE29	170	8	0.827495145740	-3.494432949147	8	0.087869172565	0.986575543080	0.515821116871	0.138903689124
IT2a	4	RAW_OPEN_CHAR3_HASH32	170	8	-0.237949375432	-4.559877470319	5	0.565291676837	1.000000000000	-0.191608211746	0.138903689124
IT2a	5	OPEN_WRAPPER7	170	8	0.279464422118	-4.042463672769	5	0.423236514523	1.000000000000	0.243053580813	0.075744327273
IT2a	5	OPEN_COMPILER12	170	8	0.355213551060	-3.966714543827	7	0.434952404198	1.000000000000	0.320865611664	0.075744327273
IT2a	5	OPEN_EDGE29	170	8	0.339276971843	-3.982651123044	5	0.035879912131	1.000000000000	-0.028696710073	0.075744327273
IT2a	5	RAW_OPEN_CHAR3_HASH32	170	8	0.132125431152	-4.189802663736	5	0.158652672687	1.000000000000	-0.129999925795	0.075744327273
IT2a	6	OPEN_WRAPPER7	170	8	0.512130868329	-3.809797226558	7	0.044666829387	1.000000000000	0.267693513237	0.098727608176
IT2a	6	OPEN_COMPILER12	170	8	0.903184885183	-3.418743209704	8	0.030754210398	0.964608249939	0.576201090396	0.098727608176
IT2a	6	OPEN_EDGE29	170	8	0.472689047581	-3.849239047306	6	0.193800341713	1.000000000000	0.259525495806	0.098727608176
IT2a	6	RAW_OPEN_CHAR3_HASH32	170	8	0.238925678742	-4.083002416145	4	0.396143519649	1.000000000000	0.160630334245	0.098727608176
RF1b	2	OPEN_WRAPPER7	170	8	1.277577865098	-3.044350229790	6	0.305101293629	0.767146692702	1.153142866789	0.696732796753
RF1b	2	OPEN_COMPILER12	170	8	1.542342879752	-2.779585215135	7	0.101293629485	0.297778862582	1.264048663007	0.696732796753
RF1b	2	OPEN_EDGE29	170	8	1.647257050033	-2.674671044855	7	0.125457651940	0.160605320967	1.277340187847	0.696732796753
RF1b	2	RAW_OPEN_CHAR3_HASH32	170	8	1.219261545361	-3.102666549527	6	0.013668537955	0.843788137662	0.621935264406	0.696732796753
