joint_tuple_id	host_id	coordinate_id	events	folios	sections	registers	wrapper_classes	renderer_state	semantic_state	translation_state
3f97227d6579af02898d	77da048fee790c7fcf6f	b13789bf2874739e46f6	3	3	B|H|T	HERBAL_B|OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
3f9c2b0447d5c09b5df3	71c2ca2a9fab2bf88510	fb61c4e2699f5c505886	1	1	H	HERBAL_A	t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
3fabfd6a83d87c9650f1	d961dcebd07603e66ce9	fb61c4e2699f5c505886	1	1	B	OTHER_B	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
3fd02bd71738eb9e399b	b5b7b289aa2262ea06a6	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
401f379d5f54e24e0ac0	99669666198414cc2367	fb61c4e2699f5c505886	1	1	C	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
403c1592f918c8f23b88	59f9cbdcf9f669279c27	fa436db0093634469c20	2	2	H|T	HERBAL_B|OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
40442a22d9be6b7ba8cc	bbd0982032a22111a593	fb61c4e2699f5c505886	1	1	H	HERBAL_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
405bef4fb17f31f61e0e	ff0303ad24d2cb881df5	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
409617fce7fcc7d9a6ba	823f2a12ab82434f5ece	fb61c4e2699f5c505886	1	1	C	OTHER_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
409de02322e7b2ca0c62	ff0c2cc6c1c2d2b5e39e	fb61c4e2699f5c505886	2	2	H|S	HERBAL_A|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
40dffe29d2d8885b2b8b	6f8be992064bd85f8cad	9a86ad2c9bcdc4433a17	1	1	S	STARS_RECIPE_B	ch	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
40fb253e060976e3a30e	4d030ff475e202535671	dda0ce94b28cdae70cfa	3	3	H|S	HERBAL_A|STARS_RECIPE_B	q|s|t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
4126cf167fd02ed8ea70	4f9fe31b423861e76f00	3733a056ae04c4305665	1	1	S	STARS_RECIPE_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
41420242191d345ec391	439cc4eabd50ee8ec566	fa436db0093634469c20	2	2	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
415810f818cc42f4f096	c487b045cd2de3424712	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
417d136f40333cd5a1b3	c31f4e8d145139ba54ea	fb61c4e2699f5c505886	14	11	B|H|S	HERBAL_A|HERBAL_B|OTHER_A|OTHER_B|STARS_RECIPE_B	d|sh|t	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
41c95ef676b328b6a221	02a96a0ea78b81f09997	fb61c4e2699f5c505886	1	1	S	OTHER_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
41d365fe48956d94094b	0a25f24cb37de88c4473	fb61c4e2699f5c505886	1	1	P	OTHER_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
424c497f4d413127cb7c	021601780a50d58b7a78	fb61c4e2699f5c505886	1	1	P	OTHER_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
4260b57fdca236aab46c	51f8c30423b040ad2a8d	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
4287c9c9740da1f183e1	85c78fcb228f3349ca53	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
428a5e3662aa57b4b256	70bcba5632717fe15ee7	9a86ad2c9bcdc4433a17	1	1	H	HERBAL_A	s	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
429b106255c954f8f9f4	32790a31369a9a1056f9	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
42aebd36450a6fa215b4	4cddfc8aa5062d9f7241	fb61c4e2699f5c505886	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
42cdc187d5b9ffc60063	3ccf3da303de965d35da	fb61c4e2699f5c505886	4	3	B|C|T	OTHER_B	NONE|s	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
42dd4ec7c5254e793786	28082edf0f6731e4bede	62c544e4108c60c3227b	2	2	B|H	HERBAL_B|OTHER_B	che|sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
433713294b25b0a12f66	7c1e6b8100acc8ddf8ef	9a86ad2c9bcdc4433a17	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
4339eb13399bdb2ae100	eeebb3688b170c4cf95a	fb61c4e2699f5c505886	1	1	T	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
43528d042b9ee77c2c9a	07510b09ed474889d872	fb61c4e2699f5c505886	1	1	H	HERBAL_A	ch	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
