scope	representation	page	label_locus	true_assembly	top_similarity	bottom_similarity	predicted_assembly	correct
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.53	BOTTOM	0.0833333333333	0.054347826087	TOP	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.54	BOTTOM	0.0833333333333	0.054347826087	TOP	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.55	BOTTOM	0	0.0212765957447	BOTTOM	1
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f75v	f75v.56	BOTTOM	0.127659574468	0.0652173913043	TOP	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f83r	f83r.45	TOP	0.0434782608696	0.0526315789474	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f83r	f83r.46	TOP	0.0217391304348	0.0540540540541	BOTTOM	0
COMPLETE_LINES_PRIMARY	SOURCE_FAMILY_CHAR3	f83r	f83r.51	BOTTOM	0.0425531914894	0.0789473684211	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.18	TOP	0.00896860986547	0.010989010989	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.19	TOP	0.00896860986547	0.00546448087432	TOP	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.20	TOP	0.0135135135135	0.0165745856354	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.21	TOP	0.0135135135135	0.0165745856354	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.24	TOP	0.0134529147982	0.0054347826087	TOP	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.25	TOP	0.0227272727273	0.0279329608939	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.26	TOP	0.00904977375566	0.00552486187845	TOP	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.27	TOP	0	0.00552486187845	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.28	TOP	0.0045045045045	0.0111111111111	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.29	TOP	0.00900900900901	0.0166666666667	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.30	TOP	0.00900900900901	0.00549450549451	TOP	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.31	TOP	0.0136363636364	0.0111111111111	TOP	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.32	TOP	0.0135135135135	0.0165745856354	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.33	TOP	0.0135135135135	0.0165745856354	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.34	TOP	0.00900900900901	0.0110497237569	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.35	TOP	0.0135135135135	0.0279329608939	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.36	TOP	0.0134529147982	0.0220994475138	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.37	TOP	0.00446428571429	0.0165745856354	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.50	BOTTOM	0.0178571428571	0.0218579234973	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.51	BOTTOM	0.0224215246637	0.0446927374302	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.52	BOTTOM	0.00900900900901	0.0166666666667	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.53	BOTTOM	0.00896860986547	0.010989010989	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.54	BOTTOM	0.00896860986547	0.0222222222222	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.55	BOTTOM	0.00446428571429	0.0279329608939	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f75v	f75v.56	BOTTOM	0.018018018018	0.0277777777778	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f83r	f83r.45	TOP	0.0344827586207	0.0322580645161	TOP	1
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f83r	f83r.46	TOP	0.0526315789474	0.0666666666667	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	RAW_CHAR3	f83r	f83r.51	BOTTOM	0.0169491525424	0.015873015873	TOP	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.18	TOP	0.0125	0.0147058823529	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.19	TOP	0.00625	0.00735294117647	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.20	TOP	0.0254777070064	0.0300751879699	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.21	TOP	0.00625	0.0148148148148	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.24	TOP	0.0125	0	TOP	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.25	TOP	0.0254777070064	0.0300751879699	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.26	TOP	0.00632911392405	0.015037593985	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.27	TOP	0.0062893081761	0.00740740740741	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.28	TOP	0.0126582278481	0.0149253731343	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.29	TOP	0.0125786163522	0.0223880597015	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.30	TOP	0	0	TIE	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.31	TOP	0.0127388535032	0.00746268656716	TOP	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.32	TOP	0.0127388535032	0.00746268656716	TOP	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.33	TOP	0.0125786163522	0.0148148148148	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.34	TOP	0.0125786163522	0.0148148148148	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.35	TOP	0.0062893081761	0.0225563909774	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.36	TOP	0.01875	0.0296296296296	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.37	TOP	0.0125	0.0222222222222	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.50	BOTTOM	0.03125	0.029197080292	TOP	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.51	BOTTOM	0.03125	0.0601503759398	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.52	BOTTOM	0.0125786163522	0.0223880597015	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.53	BOTTOM	0	0	TIE	0
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.54	BOTTOM	0.0062893081761	0.0149253731343	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.55	BOTTOM	0.0125	0.0375939849624	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f75v	f75v.56	BOTTOM	0.0062893081761	0.0149253731343	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f83r	f83r.45	TOP	0.025641025641	0.0196078431373	TOP	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f83r	f83r.46	TOP	0.105263157895	0.08	TOP	1
ALL_AVAILABLE_SENSITIVITY	PAGE_HOST_CHAR3	f83r	f83r.51	BOTTOM	0	0	TIE	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.18	TOP	0.00512820512821	0.00625	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.19	TOP	0.020725388601	0.0188679245283	TOP	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.20	TOP	0.020725388601	0.0253164556962	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.21	TOP	0.020725388601	0.0253164556962	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.24	TOP	0.0259067357513	0.01875	TOP	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.25	TOP	0.0260416666667	0.031847133758	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.26	TOP	0.0103626943005	0.0126582278481	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.27	TOP	0	0.0126582278481	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.28	TOP	0.015625	0.0191082802548	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.29	TOP	0	0.0062893081761	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.30	TOP	0.0103092783505	0.0125786163522	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.31	TOP	0.015625	0.0191082802548	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.32	TOP	0.0154639175258	0.031847133758	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.33	TOP	0.020725388601	0.0253164556962	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.34	TOP	0.0103092783505	0.0125786163522	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.35	TOP	0.0260416666667	0.031847133758	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.36	TOP	0.0102564102564	0.0253164556962	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.37	TOP	0.0260416666667	0.031847133758	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.50	BOTTOM	0.0309278350515	0.03125	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.51	BOTTOM	0.0257731958763	0.0445859872611	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.52	BOTTOM	0.0208333333333	0.0254777070064	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.53	BOTTOM	0.0260416666667	0.031847133758	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.54	BOTTOM	0.0260416666667	0.031847133758	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.55	BOTTOM	0.0103092783505	0.0254777070064	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f75v	f75v.56	BOTTOM	0.03125	0.0382165605096	BOTTOM	1
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f83r	f83r.45	TOP	0.0434782608696	0.0754716981132	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f83r	f83r.46	TOP	0.0217391304348	0.037037037037	BOTTOM	0
ALL_AVAILABLE_SENSITIVITY	SOURCE_FAMILY_CHAR3	f83r	f83r.51	BOTTOM	0.0425531914894	0.0545454545455	BOTTOM	1
