control_id	k	split	held_value	model	scored_events	bits	top1
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0012	POSITION_CONTEXT	9	12.883695634532	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0012	OTHER_POSITION_HOST_BAG	9	11.717951068502	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0012	LATENT_HOST_CLASS	9	11.614757496603	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0013	POSITION_CONTEXT	8	13.158484079997	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0013	OTHER_POSITION_HOST_BAG	8	13.851685357388	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0013	LATENT_HOST_CLASS	8	10.780116928212	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0014	POSITION_CONTEXT	15	19.929561989282	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0014	OTHER_POSITION_HOST_BAG	15	14.978600747854	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0014	LATENT_HOST_CLASS	15	18.801551083139	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0015	POSITION_CONTEXT	16	13.708374774692	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0015	OTHER_POSITION_HOST_BAG	16	15.465797706618	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0015	LATENT_HOST_CLASS	16	14.269682703001	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0016	POSITION_CONTEXT	12	21.001767341704	10
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0016	OTHER_POSITION_HOST_BAG	12	9.127013498683	10
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0016	LATENT_HOST_CLASS	12	15.224244345042	10
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0017	POSITION_CONTEXT	5	9.935340733509	4
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0017	OTHER_POSITION_HOST_BAG	5	5.747080725933	4
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0017	LATENT_HOST_CLASS	5	9.031732807587	4
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0018	POSITION_CONTEXT	18	19.789376015978	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0018	OTHER_POSITION_HOST_BAG	18	20.431745928899	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0018	LATENT_HOST_CLASS	18	21.222363331490	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0019	POSITION_CONTEXT	7	4.000434545984	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0019	OTHER_POSITION_HOST_BAG	7	3.612133769670	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0019	LATENT_HOST_CLASS	7	3.989144534239	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0029	POSITION_CONTEXT	17	17.179736432098	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0029	OTHER_POSITION_HOST_BAG	17	12.897171500117	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0029	LATENT_HOST_CLASS	17	15.260740164230	13
