control_id	view	representation	events	scoring_folds	observed_bits	null_mean_bits	null_sd_bits	saving_bits	saving_bits_per_event	null_z	ratio_s_event_to_voynich	ratio_z_to_voynich	powered_for_gate	reproduces_voynich_magnitude	lower_tail_p	representation_changes_across_folds	rank_by_saving_bits_per_event
AUGSBURG_ACCOUNTS_1402_1424	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	50116.032629640707	50109.355368258890	65.476877671047	-6.677261381818	-0.001491792087	-0.101978921710	-0.004152985890	-0.004839157866	1	0	0.600000000000	351996	11
VOYNICH_REFERENCE	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	40199.327103322845	41807.148935216341	76.295214099573	1607.821831893496	0.359209524552	21.073691854316	1.000000000000	1.000000000000	1	0	0.015384615385		1
ABBREVIATION_HEAVY_MEDIEVAL	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	56180.755295916177	57084.260904812647	78.952677691173	903.505608896470	0.201855587332	11.443634786278	0.561943861549	0.543029425759	1	0	0.015384615385		2
ORDINARY_NATURAL_LANGUAGE	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	52116.556874098234	52591.030951076194	73.155073727924	474.474076977960	0.106004038646	6.485866978176	0.295103641191	0.307770798919	1	0	0.015384615385		3
LATIN_MEDICAL_GRAPHEMATIC	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	67051.612153017821	67516.542314399790	75.855492205830	464.930161381970	0.103871796555	6.129156213507	0.289167712591	0.290843970571	1	0	0.015384615385		4
LATIN_15C_GRAPHEMATIC	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	66346.326394802541	66529.607123024558	84.972557199439	183.280728222016	0.040947437047	2.156940243564	0.113993182943	0.102352272135	1	0	0.046153846154		5
COMPOSITIONAL_TECHNICAL_NOTATION	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	53712.094897780160	53866.176779284717	57.090880524275	154.081881504557	0.034424012847	2.698887809920	0.095832683975	0.128069055416	1	0	0.015384615385		6
AUGSBURG_ACCOUNTS_1402_1424	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	47691.546625328192	47823.848003515814	72.068205182082	132.301378187622	0.029557948657	1.835780117645	0.082286093871	0.087112411548	1	0	0.061538461538		7
ARBITRARY_LOCAL_CODEBOOK	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	67050.643432742552	67177.170600451092	86.371829947978	126.527167708540	0.028267910569	1.464912434815	0.078694769034	0.069513801613	1	0	0.076923076923		8
HYBRID_SHORTHAND	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	59249.534048870722	59334.789875777155	72.488214634802	85.255826906432	0.019047325046	1.176133628562	0.053025668153	0.055810516576	1	0	0.123076923077		9
LEARNED_ABBREVIATION_SAMPLED	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	57121.729511727164	57045.413522672781	70.034773331393	-76.315989054383	-0.017050042237	-1.089687100053	-0.047465451420	-0.051708410068	1	0	0.830769230769		10
LEARNED_ABBREVIATION_MAP	LENGTH_MATCHED_OVERLAY	PUBLISHED_FULL_INVENTORY	4476	91	56445.864130092399	56339.791389068225	65.214306360352	-106.072741024174	-0.023698110148	-1.626525634392	-0.065972944838	-0.077182756853	1	0	0.969230769231		11
LATIN_SCHOLASTIC_GRAPHEMATIC	NATIVE_ORDER	LOFO_SAFE	8448	6	99693.709782510923	104165.960383976882	83.959306160260	4472.250601465959	0.529385724605	53.266883755916	1.451783256392	1.656442020140	1	1	0.015384615385	32949	1
LATIN_MEDICAL_GRAPHEMATIC	NATIVE_ORDER	LOFO_SAFE	8448	10	134584.336404797185	138533.572825424402	81.575111285076	3949.236420627218	0.467475902063	48.412271321654	1.282002244937	1.505477979058	1	1	0.015384615385	46585	2
