page	physical_folio	source_lines	source_groups	first_locus	first_groups	body_after_first_lines	body_after_first_groups	last_locus	last_groups	selection	semantic_role
f55v	f55	5	39	f55v.5	8	4	31	f55v.11	10	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f56r	f56	11	38	f56r.3	4	10	34	f56r.19	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f56v	f56	11	48	f56v.3	7	10	41	f56v.15	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f5r	f5	3	12	f5r.4	6	2	6	f5r.7	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f5v	f5	4	26	f5v.3	8	3	18	f5v.6	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f66v	f66	3	18	f66v.5	5	2	13	f66v.9	6	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f6r	f6	9	43	f6r.2	8	8	35	f6r.14	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f6v	f6	10	37	f6v.7	5	9	32	f6v.21	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f7r	f7	8	39	f7r.1	6	7	33	f7r.9	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f7v	f7	6	37	f7v.1	8	5	29	f7v.9	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f87r	f87	11	56	f87r.1	2	10	54	f87r.15	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f87v	f87	9	34	f87v.2	5	8	29	f87v.16	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f8r	f8	9	51	f8r.2	9	8	42	f8r.20	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f8v	f8	14	78	f8v.3	8	13	70	f8v.17	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f90r1	f90	4	28	f90r1.2	6	3	22	f90r1.8	10	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f90r2	f90	4	25	f90r2.1	5	3	20	f90r2.6	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f90v1	f90	3	12	f90v1.1	6	2	6	f90v1.6	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f90v2	f90	3	18	f90v2.4	3	2	15	f90v2.6	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f93r	f93	29	115	f93r.1	7	28	108	f93r.32	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f93v	f93	4	31	f93v.1	9	3	22	f93v.10	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f94r	f94	4	20	f94r.3	6	3	14	f94r.9	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f94v	f94	10	66	f94v.2	7	9	59	f94v.12	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f95r1	f95	7	68	f95r1.1	9	6	59	f95r1.9	10	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f95r2	f95	8	60	f95r2.1	4	7	56	f95r2.9	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f95v1	f95	8	53	f95v1.2	11	7	42	f95v1.13	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f95v2	f95	4	26	f95v2.4	7	3	19	f95v2.7	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f96r	f96	8	55	f96r.1	7	7	48	f96r.11	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f96v	f96	7	26	f96v.2	6	6	20	f96v.12	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f9r	f9	5	38	f9r.1	10	4	28	f9r.7	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f9v	f9	8	50	f9v.1	10	7	40	f9v.12	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
