unit_id	edition	page	physical_folio	star_ordinal	locus	rays	tail	color	provenance	open_host_sha256	body_host_sha256	claim_state
c19fc6a6cac58136174d	ZL3b	f104v	f104	1	f104v.1	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	c05f273cbf7d88bc438eed3090670e47b5fcc771157905b50228dfadc1aeaba2	1b670b44b45cab64afe68cd61ff3a9688f6f3f6b069f2c6c96a83c0a9376b319	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
27f6ef1916acea076c71	ZL3b	f104v	f104	2	f104v.6	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	9967160069dec8e6082f63a59c58e7454b3bd706e4d29fae5bb0e98d014605ca	cdf78853fafa03f309ee55778f466a297800af5cd522c6c54a0dc31a3adfbad7	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
515bdb73d46919d19d88	ZL3b	f104v	f104	3	f104v.8	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	54b121bbf9fcd454528bef775fe076e7486e11bcfc7a7116faf886f926cf31a3	b43201025c88d76615cfd5dda85b7846c601dc740a5bdb0583e8df009a798b4f	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
10795b2c68591dbd69a8	ZL3b	f104v	f104	4	f104v.12	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	565d399d55e56db93efa1ed4e61f8ea5aa064c69f634a4099af6f0e2ab2dc674	7de5358000646cf1ea5b8a6cc626702a3b889681d351ded173fe367abb0c75bd	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
3b68cf14da5e100ff54a	ZL3b	f104v	f104	5	f104v.15	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	bd43663fdc66d4d9bcac1bf00a918fee051cfc28d9b82f452a145b9ac6a035b6	85e43126794ad76bfdec15524691e6bfd7bdddacf71cb7339c9ed0bfd8d799cd	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
52f88783264e5c664dfe	ZL3b	f104v	f104	6	f104v.19	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	565757d4bd7bb0a53eb16eb42cfa23bf8c407716434d89b5d4c8d88e2d0927ca	d6e4b4fccf5ef7907864f6d1c01514981ca094b61a2bb984bbc9b83948efcd29	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
fa269fff9590a81b4d47	ZL3b	f104v	f104	7	f104v.22	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	e1d59b6a38900f0fc5195c9215bdc4cec68d50c463eb7c991fec68fd5fe0fa8a	31ad4e85a6b289d6b6deecb795e08ab9a6c7c018da5102ea465978ef807448ca	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
f1aec5e07af57d0a98bb	ZL3b	f104v	f104	8	f104v.27	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	d400c789036a1f96e315eb50e39dc31194f55c8b49e56638ee5318c76404565b	90606a9433ae40fcee141c3470cbd44a4b0440609d39c73edb4eaf444515c2bb	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
678953e80bb04ec3510d	ZL3b	f104v	f104	9	f104v.29	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	832410cc7b3f56b74d8f284fc09f9f3130aca7071370cd4ef517c7d3baecbbbd	8b36ec3505e532cc656182f38d3b0275052eb75c0c5293ef8cf028ff2d59b0b1	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
89586021de90748fde0e	ZL3b	f104v	f104	10	f104v.32	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	202cf59d3ed572da5e89d43ceff7a8afe37b4371fd88583ff1f09f726f01f51d	6912d0558775376bdc52595c46c5b54fa43c4fa69e1b73a168bc5fe94f7ad9a0	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
b22003549202a23741ac	ZL3b	f104v	f104	11	f104v.35	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	33d9bd9597a74aa6546492aad4d23d061e2c6c7c3b2a9d1a4c1e948855c8033d	b8e7f3e5b6b05a3659dc831d97a3e8bfd23292b6c294a0e5d856c67f17a3243e	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
cfad99921fb8b55360c1	ZL3b	f104v	f104	12	f104v.37	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	97fe4b37184643c0c186be41f09fd1390be1b7e099ec8176506b324657a65a16	72cabe744621fa1c4a90da11736c1bbc4c79745db749afa2546c296b7cc272fb	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
9ef3f65a27e1b7875ddb	ZL3b	f104v	f104	13	f104v.41	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	24ae5b54e8edcf47862600c87b0ab0e13854b22ae8438263bc6621e3d3804954	b9d78398a8935976b5a54ab2d3874659f5ce897be5755bf29e5e062dabcf6f25	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
d28645a7736065f3a169	ZL3b	f105r	f105	1	f105r.1	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	15d5b55f4b33c5493b3156f8d6cd5f40c9d3e1b0c9cd26d4594c1cf9a6e754c1	705a3aec32e587df37ad2b1cbdccf187f5ba0d76ab1c8dcca92e4db7d6aa2c75	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
5bd9bcc3ac34a6530b75	ZL3b	f105r	f105	2	f105r.6	7	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	51fc0d0c338e958d2a915c07205b5a4058528c3a2cdd76a4c3aa73e819c45a11	4173c5746549691c10235634961f676e70bba9b7f69eb44ea99cf52829628eff	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
1281633a13409752d3f2	ZL3b	f105r	f105	3	f105r.11	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	6957d6eb9388f1d9d65d924f0f0cb024b0d0a59a1e41d479295e24a58b51ac86	3e1ee5e58ee1d6b348fb524cd2023a3e53c9f4579cc8252d6bc17ce6920e549a	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
ecc3fa016482e84f71e8	ZL3b	f105r	f105	4	f105r.14	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	a12d66667848ce67a46bb53ee6b2d404cff2b1d6948721277bdb020d722f09af	f21d2b8feaeb59f24f488a510317f5f151848870f30d39ab85e2bf28b9248267	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
208855dba9de0bfbdb62	ZL3b	f105r	f105	5	f105r.17	8	2	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	a78eac77889eb7f193ac74ef1a6b215d2eb5b0517e2ca8e4c63a867a9c990674	029f94c181fdc47d3ff33a29c85fc25875970e899b4976b1a8689c6b95fca704	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
22f7e08a7615b0fa373a	ZL3b	f105r	f105	6	f105r.24	7	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	49330958fb6873f16437d4ef8ad15a768e32958d975ff3a1fb45f62dd7643c90	a3adae5398012d8653e959f598eb9b099d55f03f3e99c089b57d3c1710726ba8	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
