book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000007	ADDRESSEE	NB_B2_R000142	0.555555555556	RAW_GROUP_IDENTITY	463	264	0.00378787878788	0	0	0	0.570194384449	0.127659574468
Band2	NB_B2_R000007	ADDRESSEE	NB_B2_R000142	0.555555555556	RAW_CHAR3	463	370	0.0027027027027	0	0	0	0.799136069114	0.226293103448
Band2	NB_B2_R000007	ADDRESSEE	NB_B2_R000142	0.555555555556	PAGE_HOST_IDENTITY	463	335	0.00298507462687	0	0	0	0.723542116631	0.147286821705
Band2	NB_B2_R000007	ADDRESSEE	NB_B2_R000142	0.555555555556	PAGE_HOST_CHAR3	463	356	0.00280898876404	0	0	0	0.768898488121	0.227272727273
Band2	NB_B2_R000007	ADDRESSEE	NB_B2_R000142	0.555555555556	COMPILER_SIGNATURE	463	393	0.00254452926209	0	0	0	0.848812095032	0.269230769231
Band2	NB_B2_R000007	ADDRESSEE	NB_B2_R000142	0.555555555556	MARKER_AND_POSITION	463	312	0.00320512820513	0	0	0	0.673866090713	0.571428571429
Band2	NB_B2_R000007	ADDRESSEE	NB_B2_R000142	0.555555555556	HOST_PLUS_COMPILER	463	264	0.00378787878788	0	0	0	0.570194384449	0.127659574468
Band2	NB_B2_R000008	CONTENT	NB_B2_R000132	0.213483146067	RAW_GROUP_IDENTITY	463	9	0.111111111111	0	1	1	0.0194384449244	0.151260504202
Band2	NB_B2_R000008	CONTENT	NB_B2_R000132	0.213483146067	RAW_CHAR3	463	64	0.015625	0	0	0	0.138228941685	0.25181598063
Band2	NB_B2_R000008	CONTENT	NB_B2_R000132	0.213483146067	PAGE_HOST_IDENTITY	463	61	0.016393442623	0	0	0	0.131749460043	0.171171171171
Band2	NB_B2_R000008	CONTENT	NB_B2_R000132	0.213483146067	PAGE_HOST_CHAR3	463	175	0.00571428571429	0	0	0	0.377969762419	0.230136986301
Band2	NB_B2_R000008	CONTENT	NB_B2_R000132	0.213483146067	COMPILER_SIGNATURE	463	400	0.0025	0	0	0	0.863930885529	0.214285714286
Band2	NB_B2_R000008	CONTENT	NB_B2_R000132	0.213483146067	MARKER_AND_POSITION	463	416	0.00240384615385	0	0	0	0.89848812095	0.4375
Band2	NB_B2_R000008	CONTENT	NB_B2_R000132	0.213483146067	HOST_PLUS_COMPILER	463	9	0.111111111111	0	1	1	0.0194384449244	0.151260504202
Band2	NB_B2_R000008	ADDRESSEE	NB_B2_R000055	0.181818181818	RAW_GROUP_IDENTITY	463	125	0.008	0	0	0	0.269978401728	0.111111111111
