world_index	model	held_bits
43	ABBREVIATION_HEAVY_LANGUAGE	70781.629341128413
43	TECHNICAL_NOTATION	77887.599171848487
43	HYBRID	78449.702463363705
44	COMPRESSED_NATURAL_LANGUAGE	70941.724379725565
44	ABBREVIATION_HEAVY_LANGUAGE	70799.959366931289
44	TECHNICAL_NOTATION	77767.314874866686
44	HYBRID	78414.283996322527
45	COMPRESSED_NATURAL_LANGUAGE	70865.480335301385
45	ABBREVIATION_HEAVY_LANGUAGE	70733.503309051128
45	TECHNICAL_NOTATION	77926.171653857906
45	HYBRID	78566.180720340955
46	COMPRESSED_NATURAL_LANGUAGE	70887.290969966401
46	ABBREVIATION_HEAVY_LANGUAGE	70687.392740373209
46	TECHNICAL_NOTATION	77814.702036531773
46	HYBRID	78527.146177713745
47	COMPRESSED_NATURAL_LANGUAGE	70876.191698954135
47	ABBREVIATION_HEAVY_LANGUAGE	70737.316904678941
47	TECHNICAL_NOTATION	77887.401262081228
47	HYBRID	78548.534744102348
48	COMPRESSED_NATURAL_LANGUAGE	71032.104671373221
48	ABBREVIATION_HEAVY_LANGUAGE	70658.701843216186
48	TECHNICAL_NOTATION	77974.318698331437
48	HYBRID	78419.780809804448
49	COMPRESSED_NATURAL_LANGUAGE	71074.738159688699
49	ABBREVIATION_HEAVY_LANGUAGE	70593.682461517383
49	TECHNICAL_NOTATION	77764.870170190508
49	HYBRID	78565.068855617239
50	COMPRESSED_NATURAL_LANGUAGE	70967.258051518133
50	ABBREVIATION_HEAVY_LANGUAGE	70728.663901680469
50	TECHNICAL_NOTATION	77913.186618095060
50	HYBRID	78394.485833114188
51	COMPRESSED_NATURAL_LANGUAGE	70887.654146720131
51	ABBREVIATION_HEAVY_LANGUAGE	70766.458720974551
51	TECHNICAL_NOTATION	78024.054893879904
51	HYBRID	78494.536657653443
52	COMPRESSED_NATURAL_LANGUAGE	70864.402298899848
52	ABBREVIATION_HEAVY_LANGUAGE	70685.672533254241
52	TECHNICAL_NOTATION	78142.625687712673
52	HYBRID	78533.242611986323
53	COMPRESSED_NATURAL_LANGUAGE	70976.176866940848
53	ABBREVIATION_HEAVY_LANGUAGE	70693.307774748202
53	TECHNICAL_NOTATION	77875.118393424171
53	HYBRID	78361.883927324277
54	COMPRESSED_NATURAL_LANGUAGE	70907.117022123857
54	ABBREVIATION_HEAVY_LANGUAGE	70657.697135484501
54	TECHNICAL_NOTATION	77930.771900000313
54	HYBRID	78417.962853810415
55	COMPRESSED_NATURAL_LANGUAGE	70757.322462260490
55	ABBREVIATION_HEAVY_LANGUAGE	70631.973267492009
55	TECHNICAL_NOTATION	77882.159953579321
55	HYBRID	78511.549246846334
56	COMPRESSED_NATURAL_LANGUAGE	70903.038809022517
56	ABBREVIATION_HEAVY_LANGUAGE	70562.026755842962
56	TECHNICAL_NOTATION	77887.677226493572
56	HYBRID	78594.953245700788
57	COMPRESSED_NATURAL_LANGUAGE	70848.268992618963
57	ABBREVIATION_HEAVY_LANGUAGE	70695.555914898068
57	TECHNICAL_NOTATION	77913.724650234188
57	HYBRID	78633.156094293357
58	COMPRESSED_NATURAL_LANGUAGE	70947.542120305108
58	ABBREVIATION_HEAVY_LANGUAGE	70686.483057948048
58	TECHNICAL_NOTATION	77838.235830232399
58	HYBRID	78466.088027007732
59	COMPRESSED_NATURAL_LANGUAGE	70829.834318383204
