panel	language_id	glottocode	family	parameter_id	concepticon_gloss	asjp_form_id	phoneme_segments	source_record_count_for_concept	loan_flag_retained_not_selected_on
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	1	I	LAZ-1-1	m ɐ	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	2	THOU	LAZ-2-1	s i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	3	WE	LAZ-3-1	t k v ɐ	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	11	ONE	LAZ-11-1	ɐ r t	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	12	TWO	LAZ-12-1	ʒ u r	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	18	PERSON	LAZ-18-1	kʼ o tʃ i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	19	FISH	LAZ-19-1	tʃˠ o m i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	21	DOG	LAZ-21-1	dʒ o x o i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	22	LOUSE	LAZ-22-1	m tʼ i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	23	TREE	LAZ-23-1	dʒ ɐ	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	25	LEAF	LAZ-25-1	p u r kʼ i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	28	SKIN	LAZ-28-1	tʼ kʼ a b i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	30	BLOOD	LAZ-30-1	d i tsˠ i r i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	31	BONE	LAZ-31-1	qʼʷ i l i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	34	HORN (ANATOMY)	LAZ-34-1	k r ɐ	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	39	EAR	LAZ-39-1	qʼ u dʒ i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	40	EYE	LAZ-40-1	t o l i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	41	NOSE	LAZ-41-1	tʃˠ v i n d i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	43	TOOTH	LAZ-43-1	kʼ i b i r i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	44	TONGUE	LAZ-44-1	n a n ɐ	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	47	KNEE	LAZ-47-1	b u r g i l i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	48	HAND	LAZ-48-1	x a	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	51	BREAST	LAZ-51-1	g u r pʼ i dʒ i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	53	LIVER	LAZ-53-1	dʒ i g a r i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	54	DRINK	LAZ-54-1	ʃ u m	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	57	SEE	LAZ-57-1	ts i r	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	58	HEAR	LAZ-58-1	s i m i n	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	61	DIE	LAZ-61-1	x u r	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	66	COME	LAZ-66-1	m o x t i m	1	false
